queries,clicks,impressions,ctr,position
treasure data logo,4,34,11.76%,1.3
elasticsearch postgres integration,4,26,15.38%,6.6
kafka redshift,4,65,6.15%,4.4
kafka s3,4,89,4.49%,7.7
"""treasure data""",4,42,9.52%,1.0
treasure data wiki,4,37,10.81%,1.1
tableau zendesk,4,45,8.89%,3.6
"treasure data, inc",4,12,33.33%,1.3
s3 to kafka,4,49,8.16%,8.3
shiseido case study,4,21,19.05%,5.0
treasure,4,10577,0.04%,11.0
tableau ftp,4,25,16%,2.3
google analytics elasticsearch,4,25,16%,5.1
elasticsearch postgresql,4,161,2.48%,8.6
pentaho google drive,3,15,20%,3.1
tableau sftp,3,24,12.5%,3.7
data processing addendum,3,170,1.76%,30.0
digdag vs airflow,3,27,11.11%,9.3
shiseido case,3,10,30%,3.9
elasticsearch csv import,3,3,100%,21.0
salesforce kafka integration,3,25,12%,7.4
elasticsearch excel,3,40,7.5%,8.5
gartner peer insights,3,74,4.05%,18.0
mailchimp tag manager,3,20,15%,4.5
fluentd enterprise,3,20,15%,4.0
azure data connector,3,26,11.54%,5.3
jupyter excel,3,38,7.89%,5.1
mailchimp mixpanel,3,12,25%,6.5
redash csv,3,62,4.84%,6.3
cdp treasure data,3,12,25%,3.1
request trial,3,11,27.27%,6.5
elasticsearch google analytics,3,21,14.29%,7.1
elastic search android,3,35,8.57%,6.6
treasuredata cdp,3,24,12.5%,2.1
google tag manager salesforce,3,36,8.33%,4.1
fluentd mysql,3,44,6.82%,11.0
cdp data,3,172,1.74%,9.5
salesforce google tag manager,3,21,14.29%,4.0
cmp vs dmp,3,12,25%,6.1
docker google drive,3,41,7.32%,7.3
tableau mixpanel,2,19,10.53%,2.7
can tableau connect to s3,2,14,14.29%,6.9
kafka ftp,2,14,14.29%,5.6
mobile game marketing case study,2,11,18.18%,10.0
mysql webhook,2,18,11.11%,5.1
mongodb to elasticsearch,2,6,33.33%,26.0
datorama integrations,2,20,10%,7.7
mongodb jupyter notebook,2,13,15.38%,5.1
elasticsearch import data from postgresql,2,6,33.33%,18.0
data company,2,279,0.72%,23.0
salesforce kafka,2,53,3.77%,8.7
looker s3,2,21,9.52%,6.1
elasticsearch s3,2,29,6.9%,12.0
s3 tableau,2,42,4.76%,5.7
postgresql jupyter notebook,2,15,13.33%,9.0
redash salesforce,2,34,5.88%,3.0
pentaho s3,2,11,18.18%,7.8
wish case study,2,3,66.67%,1.0
import excel to elasticsearch,2,55,3.64%,8.1
in.treasuredata.com,2,51,3.92%,2.5
fluentd treasure data,2,10,20%,1.5
treasure dmp,2,60,3.33%,18.0
redash docker,2,212,0.94%,9.7
gartner quadrant,2,373,0.54%,13.0
aws s3 to elasticsearch,2,23,8.7%,9.6
mongodb jupyter,2,10,20%,3.4
google tag manager mailchimp,2,40,5%,3.2
trasuredata,2,20,10%,1.8
jupyter notebook excel,2,17,11.76%,10.0
power bi connectors,2,293,0.68%,8.2
apache kafka salesforce,2,13,15.38%,7.8
grindr api,2,98,2.04%,8.3
jupyter mysql,2,128,1.56%,6.9
jupyter s3,2,31,6.45%,8.0
bigquery to s3,2,32,6.25%,7.7
tableau eloqua,2,32,6.25%,6.0
ftp to kafka,2,4,50%,2.3
salesforce marketing cloud tableau,2,8,25%,3.9
wish ecommerce,2,114,1.75%,10.0
jupyter notebook s3,2,34,5.88%,8.9
unity ftp,2,30,6.67%,9.1
treasure dat,2,7,28.57%,1.9
salesforce big data integration,2,19,10.53%,6.9
unity csv,2,15,13.33%,19.0
jupyter mongodb,2,42,4.76%,3.8
mailchimp gtm,2,13,15.38%,3.1
mysql jupyter notebook,2,8,25%,7.5
elasticsearch ios,2,34,5.88%,2.8
wish.com,2,511,0.39%,37.0
s3 to bigquery,2,57,3.51%,6.9
aws s3 elasticsearch,2,4,50%,12.0
eloqua google analytics integration,2,13,15.38%,2.5
kafka to mongodb,2,40,5%,8.0
treasure data fluentd,2,14,14.29%,1.4
tableau s3,2,83,2.41%,7.5
eloqua google analytics,2,18,11.11%,3.9
qlikview docker,2,20,10%,4.0
gartner magic quadrant,2,561,0.36%,22.0
kafka with mongodb,2,20,10%,8.6
google analytics mysql,2,13,15.38%,7.0
google analytics marketo,1,4,25%,14.0
kafka and mongodb,1,17,5.88%,9.0
pandas postgresql,1,155,0.65%,8.5
tresure,1,373,0.27%,12.0
app annie insights,1,18,5.56%,6.9
elasticsearch excel import,1,8,12.5%,9.0
mobile games forum,1,17,5.88%,28.0
data collection iot,1,1,100%,51.0
zoomdata demo,1,2,50%,22.0
s3 bigquery,1,39,2.56%,8.7
connect excel to google analytics,1,1,100%,10.0
postgres pandas,1,18,5.56%,8.6
google drive storage,1,2714,0.04%,9.7
salesforce marketing cloud sftp,1,19,5.26%,6.1
best cdp,1,4,25%,11.0
grindr data,1,7,14.29%,12.0
adobe summit 2018,1,200,0.5%,8.7
powerbi connector,1,16,6.25%,7.9
rob glickman treasure data,1,14,7.14%,2.0
pandas cheatsheet,1,58,1.72%,12.0
data management platform open source,1,8,12.5%,57.0
pentaho connectors,1,29,3.45%,6.1
treasure care security company,1,32,3.12%,5.3
traesure,1,18,5.56%,9.2
data platform,1,535,0.19%,36.0
mongo to s3,1,3,33.33%,8.3
looker google analytics,1,39,2.56%,9.1
open source customer data platform,1,14,7.14%,7.5
treasure data revenue,1,12,8.33%,3.5
elasticsearch and postgresql,1,13,7.69%,8.8
difference between cdp and crm,1,22,4.55%,4.0
mongo kafka,1,9,11.11%,9.7
mongodb unity,1,51,1.96%,6.8
marketing nation summit 2018,1,13,7.69%,16.0
data jobs,1,138,0.72%,30.0
salesforce cdp,1,39,2.56%,9.1
digdag airflow,1,5,20%,4.8
wish case,1,24,4.17%,7.1
mobile gaming industry,1,62,1.61%,58.0
elastic search ios,1,8,12.5%,5.0
wish peter szulczewski,1,6,16.67%,18.0
wish growth,1,11,9.09%,5.5
adobe analytics salesforce integration,1,26,3.85%,8.2
ftp to google sheets,1,10,10%,11.0
elasticsearch with postgres,1,10,10%,8.6
tresure cdp,1,4,25%,8.3
aws data processing addendum pdf,1,44,2.27%,10.0
tableau docker,1,158,0.63%,6.5
fluentd s3,1,24,4.17%,11.0
peter szulczewski,1,6,16.67%,31.0
power bi data connectors,1,24,4.17%,8.7
download google analytics data to sql table,1,11,9.09%,9.3
google drive cloud,1,407,0.25%,9.7
unity and mysql,1,1,100%,14.0
one-to-one personalization,1,11,9.09%,4.4
customer data platform vs dmp,1,9,11.11%,4.0
domo bigquery,1,32,3.12%,4.8
treasure data crunchbase,1,25,4%,6.8
dashbid,1,446,0.22%,7.5
google storage cloud,1,111,0.9%,20.0
domo google analytics,1,23,4.35%,6.5
eloqua webhooks,1,11,9.09%,6.3
gaming data,1,41,2.44%,20.0
treasure data address,1,11,9.09%,2.0
mongodb salesforce,1,7,14.29%,11.0
unity google cloud,1,18,5.56%,8.4
elasticsearch webhook,1,31,3.23%,6.5
"we maintain information about our customers, such as their name, address, telephone number, and email address. our customers are the",1,2,50%,2.5
treasuredata login,1,10,10%,3.8
customer data,1,751,0.13%,34.0
storage,1,197,0.51%,9.6
data management platform wikipedia,1,3,33.33%,13.0
salesforce data connector,1,36,2.78%,6.7
salesforce to redshift,1,58,1.72%,9.7
gartner dmsa,1,9,11.11%,3.7
gartner,1,583,0.17%,50.0
qlikview aws,1,11,9.09%,31.0
mysql to kafka,1,10,10%,12.0
kafka mongo,1,16,6.25%,9.6
power bi?,1,1,100%,51.0
cloud google drive,1,265,0.38%,9.3
data processing addendum とは,1,22,4.55%,8.5
pandas to postgres,1,9,11.11%,10.0
redash mongodb,1,56,1.79%,8.3
power bi connector,1,131,0.76%,8.3
kafka salesforce,1,44,2.27%,8.6
qlik docker,1,28,3.57%,6.5
data processing addendum deutsch,1,23,4.35%,9.7
treasure inc,1,8,12.5%,17.0
data pipelines,1,276,0.36%,21.0
gartner data governance magic quadrant,1,7,14.29%,30.0
pentaho kafka,1,37,2.7%,8.9
adjust analytics,1,13,7.69%,7.1
game case study,1,7,14.29%,7.3
mongodb to mysql,1,13,7.69%,19.0
connecting tableau to aws,1,1,100%,17.0
mongodb and kafka,1,5,20%,9.0
adjust data,1,38,2.63%,2.3
excel elasticsearch,1,33,3.03%,8.7
google online storage,1,265,0.38%,19.0
wish facebook,1,317,0.32%,6.7
jupyter notebook mysql,1,89,1.12%,8.2
google drive como ftp,1,1,100%,18.0
elasticsearch with postgresql,1,27,3.7%,8.6
adwords adobe analytics,1,9,11.11%,5.8
treasureddata,1,24,4.17%,1.6
wish app,1,541,0.18%,23.0
pentaho google analytics,1,17,5.88%,9.0
treasure data mountain view,1,16,6.25%,1.2
kafka salesforce connector,1,43,2.33%,8.1
data management คือ,1,1,100%,19.0
data pipeline as a service,1,12,8.33%,10.0
azure connector,1,69,1.45%,9.7
wish.com revenue,1,1,100%,14.0
jupyter notebook postgres,1,4,25%,8.5
open source data pipeline,1,24,4.17%,7.8
google cloud store,1,254,0.39%,19.0
digdag bigquery,1,2,50%,30.0
kafka facebook,1,4,25%,11.0
s3 webhooks,1,21,4.76%,7.2
gartner magic quadrant adalah,1,3,33.33%,12.0
mongodb to kafka,1,7,14.29%,10.0
looker webhooks,1,14,7.14%,9.6
treasure it,1,4,25%,15.0
elasticsearch to postgresql,1,14,7.14%,8.6
iot analytics platform,1,9,11.11%,32.0
tableau facebook ads connector,1,7,14.29%,5.4
data pipeline tool,1,59,1.69%,7.4
data vr uses,1,1,100%,11.0
app annie,1,524,0.19%,30.0
power bi source data,1,3,33.33%,8.0
tableau experts,1,3,33.33%,41.0
cdp,1,681,0.15%,38.0
postgresql ftp,1,16,6.25%,4.5
wish app revenue,1,2,50%,13.0
cdp customer data platform,1,32,3.12%,9.8
study wish,1,10,10%,3.8
s3 elasticsearch,1,27,3.7%,11.0
docker pentaho,1,7,14.29%,10.0
elasticsearch android,1,83,1.2%,6.7
sales analytics solutions,1,3,33.33%,50.0
hql cheat sheet,1,3,33.33%,9.3
outpost games,1,21,4.76%,23.0
javascript jdbc,1,19,5.26%,10.0
cloud gaming free trial,1,27,3.7%,37.0
treasure mobile,1,7,14.29%,8.4
python omniture,1,23,4.35%,9.0
dan weirich,1,21,4.76%,4.1
mongodb elasticsearch,1,34,2.94%,29.0
treasuredate,1,9,11.11%,2.1
what is google cloud account,1,8,12.5%,8.3
datatreasure,1,3,33.33%,1.0
amazon s3 full text search,1,10,10%,12.0
kafka mongodb,1,92,1.09%,8.7
power bi data connector,1,23,4.35%,7.2
segment salesforce,1,35,2.86%,9.7
marketo google analytics,1,10,10%,18.0
domo mysql,1,17,5.88%,4.4
mongodb s3,1,11,9.09%,9.7
salesforce data analytics,1,49,2.04%,15.0
"""customer data platform""",1,5,20%,15.0
redash mysql,1,28,3.57%,9.5
data-stripe,1,6,16.67%,15.0
ftp to google drive,1,110,0.91%,16.0
power bi custom connectors,1,15,6.67%,10.0
elasticsearch on s3,1,9,11.11%,9.6
dataplatform,1,18,5.56%,10.0
mixpanel redshift,1,46,2.17%,5.0
treasuredata gdpr,1,2,50%,2.0
fluentd redshift,1,12,8.33%,4.6
postgres and elasticsearch,1,13,7.69%,9.0
customer data platform gartner,1,11,9.09%,12.0
salesforce gtm,1,17,5.88%,5.8
cdp adtech,1,5,20%,7.6
sfdc crm,0,5,0%,92.0
stripe.com,0,1,0%,90.0
jupyterhub google cloud,0,1,0%,23.0
acquire wish,0,4,0%,8.0
queries google analytics,0,1,0%,71.0
google cloud platform jupyter notebook,0,1,0%,48.0
appsflyer attribution window,0,1,0%,38.0
cdp data platform,0,4,0%,10.0
опенсорс,0,3,0%,93.0
aws workflow,0,1,0%,99.0
campaign orchestration,0,8,0%,91.0
netflix data platform,0,1,0%,56.0
integration?,0,4,0%,57.0
zendesk salesforce,0,153,0%,48.0
facebook cross device reporting,0,1,0%,160.0
be data,0,1,0%,10.0
hubspot crm user guide,0,1,0%,94.0
muji customer service,0,4,0%,14.0
customer data integration,0,108,0%,140.0
kafka time series,0,1,0%,88.0
トレジャーデータ とは,0,7,0%,10.0
marketing attribution solution,0,2,0%,100.0
amazon reshift,0,2,0%,92.0
sheshido,0,6,0%,67.0
omni channel analytics,0,131,0%,37.0
management solutions for,0,5,0%,68.0
gree symbol,0,1,0%,1.0
www.wish.com transaction,0,2,0%,39.0
amazon s3 ftp client,0,24,0%,51.0
mobile game,0,22,0%,74.0
mobile analytics dashboard,0,1,0%,97.0
zendesk copenhagen,0,1,0%,37.0
salesforce connect to ftp server,0,3,0%,15.0
gdpr japan,0,2,0%,27.0
"""digital marketing news"" ""recommendation""",0,1,0%,9.0
onemarketing,0,3,0%,31.0
img,0,1,0%,4.0
splunk customer list,0,1,0%,28.0
mailchimp analytics,0,1,0%,74.0
the game developers conference,0,5,0%,19.0
aws shared security model,0,1,0%,78.0
company cloud storage,0,8,0%,60.0
data quality magic quadrant,0,1,0%,66.0
connector игра,0,1,0%,87.0
salesforce and tableau,0,1,0%,39.0
data games,0,20,0%,49.0
eloqua software,0,4,0%,77.0
what is mobile analytics,0,11,0%,54.0
gartner data integration magic quadrant 2018,0,13,0%,4.8
aws s3 integration,0,13,0%,170.0
omniture help,0,3,0%,78.0
google cloud data warehouse,0,1,0%,48.0
kubernetes certified service provider,0,3,0%,16.0
kafka db,0,1,0%,68.0
why is it called cloud storage,0,2,0%,63.0
ad data hub,0,1,0%,62.0
data management and analytics,0,7,0%,97.0
grindr customer service,0,1,0%,20.0
dmsa gartner,0,3,0%,1.7
gcs cloud,0,1,0%,3.0
treasure opportunity,0,1,0%,9.0
what is unity engine,0,2,0%,74.0
wish zip code,0,2,0%,20.0
product data management open source,0,1,0%,99.0
looker analytics pricing,0,1,0%,77.0
google object storage,0,1,0%,12.0
bizreport,0,1,0%,160.0
use google drive as ftp server,0,1,0%,54.0
cloudstorage google,0,14,0%,12.0
the cloud google,0,15,0%,46.0
tableu,0,2,0%,55.0
google normal,0,1,0%,36.0
appsflyer offices,0,1,0%,60.0
continuous cloud data integrations,0,23,0%,28.0
csv mysql,0,4,0%,59.0
wish market,0,1,0%,94.0
container in qlikview,0,1,0%,17.0
data *,0,1,0%,5.0
how much is salesforce marketing cloud,0,15,0%,89.0
customer data platform gartner magic quadrant,0,21,0%,6.1
video game companies,0,3,0%,54.0
grindr user,0,1,0%,81.0
apsalar attribution,0,3,0%,22.0
tableau push notifications,0,1,0%,29.0
adobe 2018 summit,0,1,0%,13.0
mailchimp custom integration,0,1,0%,97.0
treasure pdf,0,1,0%,100.0
postgres integration,0,20,0%,130.0
zendesk analytics,0,8,0%,76.0
annie app,0,10,0%,32.0
kafka,0,28,0%,86.0
why azure,0,1,0%,91.0
tableau in aws,0,1,0%,77.0
power b i,0,3,0%,82.0
facebook ads audience,0,1,0%,85.0
cloud backup login,0,1,0%,4.0
site data,0,2,0%,98.0
how does wish app work,0,4,0%,45.0
bi em bi,0,1,0%,9.0
google cloud storage use cases,0,1,0%,26.0
muji online,0,28,0%,35.0
marketing automation white paper,0,3,0%,39.0
datorama connectors,0,6,0%,7.8
mobile gaming case study,0,21,0%,42.0
adobe marketing cloud integration,0,2,0%,39.0
how to import data into salesforce from excel,0,2,0%,79.0
adwords custom audiences,0,1,0%,38.0
dpa data processing,0,3,0%,10.0
mail chimp email,0,3,0%,220.0
subaru advertisement,0,1,0%,96.0
multi touch attribution marketing,0,2,0%,27.0
does google have cloud storage,0,1,0%,72.0
jupyter bigquery,0,57,0%,19.0
amazon rds mongodb,0,2,0%,52.0
wish on facebook,0,4,0%,10.0
salesforce amazon integration,0,3,0%,92.0
google analytics mobile,0,1,0%,96.0
open source search server,0,2,0%,90.0
source open source,0,2,0%,81.0
data service as a service,0,1,0%,48.0
amplitude salesforce integration,0,2,0%,4.0
moving from ftp to sftp,0,2,0%,88.0
no game data on top level,0,1,0%,61.0
azure data insights,0,1,0%,20.0
widh.com,0,1,0%,53.0
ipg trading desk,0,1,0%,99.0
for data security,0,6,0%,97.0
data contact,0,1,0%,4.0
advertising data analytics,0,7,0%,33.0
google drive integration salesforce,0,13,0%,44.0
looker data platform,0,1,0%,48.0
salesforce analytics integration,0,27,0%,69.0
mixpanel analytics,0,27,0%,75.0
real time dashboard power bi,0,1,0%,59.0
data analytics png,0,1,0%,35.0
bi reporting tool selection criteria,0,26,0%,81.0
dpa eu,0,1,0%,76.0
about wish shopping,0,1,0%,37.0
zendesk redshift,0,34,0%,9.4
wish app logo,0,18,0%,7.0
google audience insights,0,3,0%,93.0
workflow management platform,0,57,0%,140.0
shiseido target market,0,4,0%,11.0
cloud sftp,0,1,0%,99.0
martech 2018,0,10,0%,79.0
ad hoc reporting in tableau,0,2,0%,59.0
poweerbi,0,1,0%,65.0
customer data view,0,9,0%,43.0
tableau salesforce,0,48,0%,42.0
hadoop big data wiki,0,11,0%,89.0
adobe summit facebook,0,1,0%,30.0
subways hiring,0,2,0%,35.0
eloqua engage salesforce,0,1,0%,16.0
fluentd security,0,2,0%,10.0
difference between pos and crm,0,1,0%,84.0
treasure chief,0,1,0%,20.0
tresre,0,2,0%,11.0
salesforce marketing cloud logo,0,3,0%,1.0
muji buy online,0,2,0%,27.0
our upcoming events,0,1,0%,88.0
google tradute,0,1,0%,5.0
all data service,0,1,0%,93.0
domo marketing dashboard,0,1,0%,45.0
jaspersoft price,0,1,0%,88.0
jupyter android,0,3,0%,17.0
customer success hubspot,0,12,0%,84.0
game self service,0,1,0%,71.0
tokyo careers,0,1,0%,32.0
gartner magic quadrant integration,0,1,0%,98.0
localytics.com,0,1,0%,89.0
wish app contact,0,1,0%,99.0
omniture for beginners,0,3,0%,26.0
data warehouse in the cloud,0,11,0%,49.0
adobe marketing cloud omniture,0,3,0%,27.0
mixpanel contact,0,1,0%,42.0
qlikview import csv,0,6,0%,8.8
ftp server search engine,0,1,0%,66.0
mixpanel cost,0,11,0%,85.0
how does wish shopping work,0,1,0%,61.0
with google analytics strategies,0,2,0%,170.0
the treasure yours,0,1,0%,35.0
web collect marketing cloud,0,1,0%,34.0
gtm corporation,0,1,0%,47.0
facebook custom audience terms of service,0,1,0%,58.0
customer database analysis,0,6,0%,69.0
mixpanel data dashboard,0,8,0%,14.0
private marketing cloud,0,10,0%,40.0
google drive salesforce,0,4,0%,43.0
number for wish app,0,1,0%,75.0
app boy,0,47,0%,38.0
gree,0,200,0%,67.0
wish.nl,0,2,0%,41.0
dmp treasure data,0,10,0%,5.3
a storage,0,1,0%,6.0
qlikview dashboard demo,0,1,0%,72.0
tokyo treasure,0,1,0%,84.0
wish experience,0,6,0%,9.0
docker salesforce,0,2,0%,15.0
adwords behavioral targeting,0,2,0%,91.0
jupyter postgres,0,40,0%,7.9
splunk filter,0,2,0%,30.0
open source cdp,0,3,0%,8.3
career data,0,2,0%,89.0
better roi,0,1,0%,84.0
game on company,0,2,0%,10.0
google drive for team,0,1,0%,160.0
gartner vendor management magic quadrant,0,5,0%,51.0
domo metrics,0,1,0%,10.0
using hubspot crm,0,3,0%,85.0
qlickview,0,2,0%,160.0
hubspot terms of service,0,6,0%,68.0
treasure and co,0,1,0%,9.0
google analytics/web,0,1,0%,89.0
g ree,0,1,0%,10.0
treasure.,0,10,0%,9.2
google drive ftp server,0,4,0%,36.0
my power bi,0,1,0%,59.0
cloud and accounts,0,1,0%,12.0
data analytics magic quadrant,0,1,0%,43.0
csv to mysql,0,51,0%,45.0
mongodb json,0,1,0%,83.0
google analytics csv,0,2,0%,19.0
google's cloud storage,0,10,0%,20.0
c.d.p.,0,1,0%,44.0
eata logo,0,1,0%,10.0
cloud storage.com,0,1,0%,11.0
cdp security,0,21,0%,13.0
world's largest gaming companies,0,1,0%,29.0
how does dmp work,0,3,0%,86.0
ftp file search,0,1,0%,74.0
panda mysql,0,2,0%,9.0
tableau app,0,3,0%,73.0
cloud data service,0,10,0%,79.0
live syndicated data streams,0,6,0%,82.0
overcoming the challenges,0,10,0%,130.0
game engine unity,0,6,0%,71.0
excel to tableau,0,3,0%,18.0
data inc,0,5,0%,77.0
data from google analytics,0,1,0%,20.0
multi-touch marketing,0,4,0%,50.0
difference between data and,0,6,0%,150.0
livebusiness,0,1,0%,74.0
marketo mailchimp,0,13,0%,6.8
google drive protocol,0,1,0%,26.0
aws reinvent,0,109,0%,40.0
wish.ocm,0,1,0%,56.0
aws mailchimp,0,1,0%,25.0
mobile game companies list,0,2,0%,34.0
enterprise customer view,0,58,0%,69.0
micxpanel,0,1,0%,54.0
cdp icon,0,5,0%,1.0
lean data salesforce,0,1,0%,54.0
data management solutions inc,0,1,0%,100.0
treasuer,0,2,0%,9.5
facebook salesforce integration,0,1,0%,65.0
cloud storage for google,0,6,0%,26.0
jasper soft,0,9,0%,69.0
customer information security,0,37,0%,190.0
use data from,0,1,0%,200.0
mongodb connector for bi,0,2,0%,81.0
open source data storage,0,3,0%,47.0
salesforce marketing cloud reporting,0,1,0%,23.0
customer data sources,0,2,0%,55.0
sap market,0,2,0%,92.0
salesforce marketing cloud video,0,1,0%,87.0
pentajo,0,1,0%,57.0
treachure,0,3,0%,12.0
marketing cloud in salesforce,0,16,0%,42.0
keenio,0,5,0%,28.0
bi data,0,153,0%,54.0
warehousing structured data google cloud,0,1,0%,65.0
the app wish,0,5,0%,30.0
"gartner, inc.",0,1,0%,100.0
wiki wish.com,0,1,0%,55.0
that game company,0,1,0%,85.0
subaru customer loyalty,0,3,0%,27.0
storage in the cloud,0,3,0%,71.0
annie apps,0,2,0%,30.0
google analytics download data,0,3,0%,34.0
data warehouse gartner magic quadrant 2018,0,2,0%,6.5
mailchimp tracking code,0,5,0%,60.0
google cloud storage connector,0,1,0%,22.0
c d p,0,18,0%,79.0
hubspot workflow recipes,0,2,0%,51.0
postgres convert,0,2,0%,63.0
google storagw,0,14,0%,8.5
what is retailing marketing,0,1,0%,87.0
how many gaming companies are there,0,1,0%,80.0
magic quadrent,0,2,0%,24.0
shiesado,0,1,0%,80.0
axa fortune 500,0,1,0%,81.0
fluury,0,1,0%,69.0
wishcase,0,11,0%,6.7
window azure,0,1,0%,84.0
learn azure,0,1,0%,82.0
domo tableau,0,1,0%,81.0
x-bee,0,1,0%,78.0
треасуре,0,1,0%,8.0
appannie logo,0,2,0%,26.0
adam ronthal,0,1,0%,35.0
analytics solutions,0,2,0%,96.0
data cloud icon,0,1,0%,89.0
android transform,0,2,0%,93.0
qlikview saas,0,32,0%,88.0
ftp ftp-data,0,2,0%,28.0
data warehouse,0,18,0%,140.0
successful mobile games,0,1,0%,52.0
eloqua tracking code,0,2,0%,13.0
domo bi,0,29,0%,77.0
power bi all,0,14,0%,13.0
power bi+,0,1,0%,62.0
qlikview real time data,0,10,0%,7.7
tableau data analytics,0,15,0%,45.0
とレジャーデータ,0,2,0%,3.0
marketing data science platform,0,2,0%,78.0
unity s3,0,1,0%,17.0
best mobile company,0,3,0%,87.0
teradata docker,0,1,0%,39.0
have gartner,0,2,0%,180.0
redshift integration,0,27,0%,95.0
facebook ad retargeting,0,2,0%,97.0
wish\,0,2,0%,58.0
about upcoming events,0,1,0%,69.0
raw data in data warehouse,0,1,0%,100.0
facebook custom audiences help,0,3,0%,80.0
program domo,0,1,0%,87.0
best dmp platforms,0,14,0%,58.0
shesido,0,8,0%,75.0
open source big data solutions,0,2,0%,190.0
whats cdp,0,2,0%,63.0
aws s3 mongodb,0,8,0%,7.3
omniture real time,0,2,0%,90.0
tableau custom portal,0,1,0%,70.0
aplitude,0,1,0%,81.0
nazanin,0,4,0%,60.0
subaru growth,0,1,0%,19.0
enterprise customer management,0,24,0%,110.0
source data,0,10,0%,67.0
storage for,0,1,0%,11.0
salesforce wave,0,6,0%,84.0
wish.com facebook,0,2,0%,17.0
jupyter input,0,1,0%,62.0
localytics,0,186,0%,79.0
mixpanel vs intercom,0,1,0%,88.0
integratio,0,1,0%,76.0
i-o data,0,1,0%,92.0
branding and strategy,0,2,0%,280.0
next customer,0,1,0%,18.0
amazon web services mongodb,0,2,0%,47.0
google could storage,0,21,0%,10.0
muji passport app,0,11,0%,11.0
mongo to redshift,0,10,0%,8.1
magic quadrant for data warehouse,0,5,0%,30.0
marketing for retail,0,4,0%,98.0
treasure each other,0,6,0%,7.5
data management platform companies,0,53,0%,89.0
about wish company,0,1,0%,22.0
bi connectors,0,4,0%,10.0
kapost.com,0,1,0%,50.0
google.com storage,0,6,0%,5.5
simple cloud storage,0,6,0%,61.0
pandas cohort analysis,0,1,0%,22.0
google data warehouse,0,1,0%,80.0
connect.data.com,0,2,0%,34.0
ca 94043 united states,0,1,0%,8.0
stripe acquisition,0,1,0%,46.0
treasure data sql,0,1,0%,12.0
enterprise png,0,1,0%,70.0
facebook ads data,0,9,0%,8.9
gree logo,0,28,0%,14.0
w.i.s.h,0,2,0%,74.0
multi touch attribution models,0,82,0%,63.0
pandas fromcsv,0,1,0%,10.0
azure glossary,0,1,0%,66.0
trsure,0,1,0%,12.0
big data 제품,0,1,0%,99.0
elasticsearch tableau,0,18,0%,33.0
kafka aws,0,7,0%,75.0
kafka to file,0,1,0%,27.0
pebble open source,0,1,0%,10.0
power bi data limits,0,3,0%,76.0
sales pipeline analytics,0,33,0%,72.0
stripe crm,0,1,0%,34.0
customer introduction,0,1,0%,58.0
mysql mailchimp integrations,0,27,0%,50.0
mongodb to logstash,0,1,0%,18.0
s3 mysql,0,6,0%,10.0
