queries,clicks,impressions,ctr,position,time
aws s3 elasticsearch,2,4,50%,12.0,1560536796
eloqua google analytics integration,2,13,15.38%,2.5,1560536796
kafka to mongodb,2,40,5%,8.0,1560536796
treasure data fluentd,2,14,14.29%,1.4,1560536796
tableau s3,2,83,2.41%,7.5,1560536796
eloqua google analytics,2,18,11.11%,3.9,1560536796
qlikview docker,2,20,10%,4.0,1560536796
gartner magic quadrant,2,561,0.36%,22.0,1560536796
kafka with mongodb,2,20,10%,8.6,1560536796
google analytics mysql,2,13,15.38%,7.0,1560536796
google analytics marketo,1,4,25%,14.0,1560536796
kafka and mongodb,1,17,5.88%,9.0,1560536796
pandas postgresql,1,155,0.65%,8.5,1560536796
tresure,1,373,0.27%,12.0,1560536796
app annie insights,1,18,5.56%,6.9,1560536796
elasticsearch excel import,1,8,12.5%,9.0,1560536796
mobile games forum,1,17,5.88%,28.0,1560536796
data collection iot,1,1,100%,51.0,1560536796
zoomdata demo,1,2,50%,22.0,1560536796
s3 bigquery,1,39,2.56%,8.7,1560536796
connect excel to google analytics,1,1,100%,10.0,1560536796
postgres pandas,1,18,5.56%,8.6,1560536796
google drive storage,1,2714,0.04%,9.7,1560536796
salesforce marketing cloud sftp,1,19,5.26%,6.1,1560536796
best cdp,1,4,25%,11.0,1560536796
grindr data,1,7,14.29%,12.0,1560536796
adobe summit 2018,1,200,0.5%,8.7,1560536796
powerbi connector,1,16,6.25%,7.9,1560536796
rob glickman treasure data,1,14,7.14%,2.0,1560536796
pandas cheatsheet,1,58,1.72%,12.0,1560536796
data management platform open source,1,8,12.5%,57.0,1560536796
pentaho connectors,1,29,3.45%,6.1,1560536796
treasure care security company,1,32,3.12%,5.3,1560536796
traesure,1,18,5.56%,9.2,1560536796
data platform,1,535,0.19%,36.0,1560536796
mongo to s3,1,3,33.33%,8.3,1560536796
looker google analytics,1,39,2.56%,9.1,1560536796
open source customer data platform,1,14,7.14%,7.5,1560536796
treasure data revenue,1,12,8.33%,3.5,1560536796
elasticsearch and postgresql,1,13,7.69%,8.8,1560536796
difference between cdp and crm,1,22,4.55%,4.0,1560536796
mongo kafka,1,9,11.11%,9.7,1560536796
mongodb unity,1,51,1.96%,6.8,1560536796
marketing nation summit 2018,1,13,7.69%,16.0,1560536796
data jobs,1,138,0.72%,30.0,1560536796
salesforce cdp,1,39,2.56%,9.1,1560536796
digdag airflow,1,5,20%,4.8,1560536796
wish case,1,24,4.17%,7.1,1560536796
mobile gaming industry,1,62,1.61%,58.0,1560536796
elastic search ios,1,8,12.5%,5.0,1560536796
wish peter szulczewski,1,6,16.67%,18.0,1560536796
wish growth,1,11,9.09%,5.5,1560536796
adobe analytics salesforce integration,1,26,3.85%,8.2,1560536796
ftp to google sheets,1,10,10%,11.0,1560536796
elasticsearch with postgres,1,10,10%,8.6,1560536796
tresure cdp,1,4,25%,8.3,1560536796
aws data processing addendum pdf,1,44,2.27%,10.0,1560536796
tableau docker,1,158,0.63%,6.5,1560536796
fluentd s3,1,24,4.17%,11.0,1560536796
peter szulczewski,1,6,16.67%,31.0,1560536796
power bi data connectors,1,24,4.17%,8.7,1560536796
download google analytics data to sql table,1,11,9.09%,9.3,1560536796
google drive cloud,1,407,0.25%,9.7,1560536796
unity and mysql,1,1,100%,14.0,1560536796
one-to-one personalization,1,11,9.09%,4.4,1560536796
customer data platform vs dmp,1,9,11.11%,4.0,1560536796
domo bigquery,1,32,3.12%,4.8,1560536796
treasure data crunchbase,1,25,4%,6.8,1560536796
dashbid,1,446,0.22%,7.5,1560536796
google storage cloud,1,111,0.9%,20.0,1560536796
domo google analytics,1,23,4.35%,6.5,1560536796
eloqua webhooks,1,11,9.09%,6.3,1560536796
gaming data,1,41,2.44%,20.0,1560536796
treasure data address,1,11,9.09%,2.0,1560536796
mongodb salesforce,1,7,14.29%,11.0,1560536796
unity google cloud,1,18,5.56%,8.4,1560536796
elasticsearch webhook,1,31,3.23%,6.5,1560536796
"we maintain information about our customers, such as their name, address, telephone number, and email address. our customers are the",1,2,50%,2.5,1560536796
treasuredata login,1,10,10%,3.8,1560536796
customer data,1,751,0.13%,34.0,1560536796
storage,1,197,0.51%,9.6,1560536796
data management platform wikipedia,1,3,33.33%,13.0,1560536796
salesforce data connector,1,36,2.78%,6.7,1560536796
salesforce to redshift,1,58,1.72%,9.7,1560536796
gartner dmsa,1,9,11.11%,3.7,1560536796
gartner,1,583,0.17%,50.0,1560536796
qlikview aws,1,11,9.09%,31.0,1560536796
mysql to kafka,1,10,10%,12.0,1560536796
kafka mongo,1,16,6.25%,9.6,1560536796
power bi?,1,1,100%,51.0,1560536796
cloud google drive,1,265,0.38%,9.3,1560536796
data processing addendum とは,1,22,4.55%,8.5,1560536796
pandas to postgres,1,9,11.11%,10.0,1560536796
redash mongodb,1,56,1.79%,8.3,1560536796
power bi connector,1,131,0.76%,8.3,1560536796
kafka salesforce,1,44,2.27%,8.6,1560536796
qlik docker,1,28,3.57%,6.5,1560536796
data processing addendum deutsch,1,23,4.35%,9.7,1560536796
treasure inc,1,8,12.5%,17.0,1560536796
data pipelines,1,276,0.36%,21.0,1560536796
gartner data governance magic quadrant,1,7,14.29%,30.0,1560536796
pentaho kafka,1,37,2.7%,8.9,1560536796
adjust analytics,1,13,7.69%,7.1,1560536796
game case study,1,7,14.29%,7.3,1560536796
mongodb to mysql,1,13,7.69%,19.0,1560536796
connecting tableau to aws,1,1,100%,17.0,1560536796
mongodb and kafka,1,5,20%,9.0,1560536796
adjust data,1,38,2.63%,2.3,1560536796
excel elasticsearch,1,33,3.03%,8.7,1560536796
google online storage,1,265,0.38%,19.0,1560536796
wish facebook,1,317,0.32%,6.7,1560536796
jupyter notebook mysql,1,89,1.12%,8.2,1560536796
google drive como ftp,1,1,100%,18.0,1560536796
elasticsearch with postgresql,1,27,3.7%,8.6,1560536796
adwords adobe analytics,1,9,11.11%,5.8,1560536796
treasureddata,1,24,4.17%,1.6,1560536796
wish app,1,541,0.18%,23.0,1560536796
pentaho google analytics,1,17,5.88%,9.0,1560536796
treasure data mountain view,1,16,6.25%,1.2,1560536796
kafka salesforce connector,1,43,2.33%,8.1,1560536796
data management คือ,1,1,100%,19.0,1560536796
data pipeline as a service,1,12,8.33%,10.0,1560536796
azure connector,1,69,1.45%,9.7,1560536796
wish.com revenue,1,1,100%,14.0,1560536796
jupyter notebook postgres,1,4,25%,8.5,1560536796
open source data pipeline,1,24,4.17%,7.8,1560536796
google cloud store,1,254,0.39%,19.0,1560536796
digdag bigquery,1,2,50%,30.0,1560536796
kafka facebook,1,4,25%,11.0,1560536796
s3 webhooks,1,21,4.76%,7.2,1560536796
gartner magic quadrant adalah,1,3,33.33%,12.0,1560536796
mongodb to kafka,1,7,14.29%,10.0,1560536796
looker webhooks,1,14,7.14%,9.6,1560536796
treasure it,1,4,25%,15.0,1560536796
elasticsearch to postgresql,1,14,7.14%,8.6,1560536796
iot analytics platform,1,9,11.11%,32.0,1560536796
tableau facebook ads connector,1,7,14.29%,5.4,1560536796
data pipeline tool,1,59,1.69%,7.4,1560536796
data vr uses,1,1,100%,11.0,1560536796
app annie,1,524,0.19%,30.0,1560536796
power bi source data,1,3,33.33%,8.0,1560536796
tableau experts,1,3,33.33%,41.0,1560536796
cdp,1,681,0.15%,38.0,1560536796
postgresql ftp,1,16,6.25%,4.5,1560536796
wish app revenue,1,2,50%,13.0,1560536796
cdp customer data platform,1,32,3.12%,9.8,1560536796
study wish,1,10,10%,3.8,1560536796
s3 elasticsearch,1,27,3.7%,11.0,1560536796
docker pentaho,1,7,14.29%,10.0,1560536796
elasticsearch android,1,83,1.2%,6.7,1560536796
sales analytics solutions,1,3,33.33%,50.0,1560536796
hql cheat sheet,1,3,33.33%,9.3,1560536796
outpost games,1,21,4.76%,23.0,1560536796
javascript jdbc,1,19,5.26%,10.0,1560536796
cloud gaming free trial,1,27,3.7%,37.0,1560536796
treasure mobile,1,7,14.29%,8.4,1560536796
python omniture,1,23,4.35%,9.0,1560536796
dan weirich,1,21,4.76%,4.1,1560536796
mongodb elasticsearch,1,34,2.94%,29.0,1560536796
treasuredate,1,9,11.11%,2.1,1560536796
what is google cloud account,1,8,12.5%,8.3,1560536796
datatreasure,1,3,33.33%,1.0,1560536796
amazon s3 full text search,1,10,10%,12.0,1560536796
kafka mongodb,1,92,1.09%,8.7,1560536796
power bi data connector,1,23,4.35%,7.2,1560536796
segment salesforce,1,35,2.86%,9.7,1560536796
marketo google analytics,1,10,10%,18.0,1560536796
domo mysql,1,17,5.88%,4.4,1560536796
mongodb s3,1,11,9.09%,9.7,1560536796
salesforce data analytics,1,49,2.04%,15.0,1560536796
"""customer data platform""",1,5,20%,15.0,1560536796
redash mysql,1,28,3.57%,9.5,1560536796
data-stripe,1,6,16.67%,15.0,1560536796
ftp to google drive,1,110,0.91%,16.0,1560536796
power bi custom connectors,1,15,6.67%,10.0,1560536796
elasticsearch on s3,1,9,11.11%,9.6,1560536796
dataplatform,1,18,5.56%,10.0,1560536796
mixpanel redshift,1,46,2.17%,5.0,1560536796
treasuredata gdpr,1,2,50%,2.0,1560536796
fluentd redshift,1,12,8.33%,4.6,1560536796
postgres and elasticsearch,1,13,7.69%,9.0,1560536796
customer data platform gartner,1,11,9.09%,12.0,1560536796
salesforce gtm,1,17,5.88%,5.8,1560536796
cdp adtech,1,5,20%,7.6,1560536796
sfdc crm,0,5,0%,92.0,1560536796
stripe.com,0,1,0%,90.0,1560536796
jupyterhub google cloud,0,1,0%,23.0,1560536796
acquire wish,0,4,0%,8.0,1560536796
queries google analytics,0,1,0%,71.0,1560536796
google cloud platform jupyter notebook,0,1,0%,48.0,1560536796
appsflyer attribution window,0,1,0%,38.0,1560536796
cdp data platform,0,4,0%,10.0,1560536796
опенсорс,0,3,0%,93.0,1560536796
aws workflow,0,1,0%,99.0,1560536796
campaign orchestration,0,8,0%,91.0,1560536796
netflix data platform,0,1,0%,56.0,1560536796
integration?,0,4,0%,57.0,1560536796
zendesk salesforce,0,153,0%,48.0,1560536796
facebook cross device reporting,0,1,0%,160.0,1560536796
be data,0,1,0%,10.0,1560536796
hubspot crm user guide,0,1,0%,94.0,1560536796
muji customer service,0,4,0%,14.0,1560536796
customer data integration,0,108,0%,140.0,1560536796
kafka time series,0,1,0%,88.0,1560536796
トレジャーデータ とは,0,7,0%,10.0,1560536796
marketing attribution solution,0,2,0%,100.0,1560536796
amazon reshift,0,2,0%,92.0,1560536796
sheshido,0,6,0%,67.0,1560536796
omni channel analytics,0,131,0%,37.0,1560536796
management solutions for,0,5,0%,68.0,1560536796
gree symbol,0,1,0%,1.0,1560536796
www.wish.com transaction,0,2,0%,39.0,1560536796
amazon s3 ftp client,0,24,0%,51.0,1560536796
mobile game,0,22,0%,74.0,1560536796
mobile analytics dashboard,0,1,0%,97.0,1560536796
zendesk copenhagen,0,1,0%,37.0,1560536796
salesforce connect to ftp server,0,3,0%,15.0,1560536796
gdpr japan,0,2,0%,27.0,1560536796
"""digital marketing news"" ""recommendation""",0,1,0%,9.0,1560536796
onemarketing,0,3,0%,31.0,1560536796
img,0,1,0%,4.0,1560536796
splunk customer list,0,1,0%,28.0,1560536796
mailchimp analytics,0,1,0%,74.0,1560536796
the game developers conference,0,5,0%,19.0,1560536796
aws shared security model,0,1,0%,78.0,1560536796
company cloud storage,0,8,0%,60.0,1560536796
data quality magic quadrant,0,1,0%,66.0,1560536796
connector игра,0,1,0%,87.0,1560536796
salesforce and tableau,0,1,0%,39.0,1560536796
data games,0,20,0%,49.0,1560536796
eloqua software,0,4,0%,77.0,1560536796
what is mobile analytics,0,11,0%,54.0,1560536796
gartner data integration magic quadrant 2018,0,13,0%,4.8,1560536796
aws s3 integration,0,13,0%,170.0,1560536796
omniture help,0,3,0%,78.0,1560536796
google cloud data warehouse,0,1,0%,48.0,1560536796
kubernetes certified service provider,0,3,0%,16.0,1560536796
kafka db,0,1,0%,68.0,1560536796
why is it called cloud storage,0,2,0%,63.0,1560536796
ad data hub,0,1,0%,62.0,1560536796
data management and analytics,0,7,0%,97.0,1560536796
grindr customer service,0,1,0%,20.0,1560536796
dmsa gartner,0,3,0%,1.7,1560536796
gcs cloud,0,1,0%,3.0,1560536796
treasure opportunity,0,1,0%,9.0,1560536796
what is unity engine,0,2,0%,74.0,1560536796
wish zip code,0,2,0%,20.0,1560536796
product data management open source,0,1,0%,99.0,1560536796
looker analytics pricing,0,1,0%,77.0,1560536796
google object storage,0,1,0%,12.0,1560536796
bizreport,0,1,0%,160.0,1560536796
use google drive as ftp server,0,1,0%,54.0,1560536796
cloudstorage google,0,14,0%,12.0,1560536796
the cloud google,0,15,0%,46.0,1560536796
tableu,0,2,0%,55.0,1560536796
google normal,0,1,0%,36.0,1560536796
appsflyer offices,0,1,0%,60.0,1560536796
continuous cloud data integrations,0,23,0%,28.0,1560536796
csv mysql,0,4,0%,59.0,1560536796
wish market,0,1,0%,94.0,1560536796
container in qlikview,0,1,0%,17.0,1560536796
data *,0,1,0%,5.0,1560536796
how much is salesforce marketing cloud,0,15,0%,89.0,1560536796
customer data platform gartner magic quadrant,0,21,0%,6.1,1560536796
video game companies,0,3,0%,54.0,1560536796
grindr user,0,1,0%,81.0,1560536796
apsalar attribution,0,3,0%,22.0,1560536796
tableau push notifications,0,1,0%,29.0,1560536796
adobe 2018 summit,0,1,0%,13.0,1560536796
mailchimp custom integration,0,1,0%,97.0,1560536796
treasure pdf,0,1,0%,100.0,1560536796
postgres integration,0,20,0%,130.0,1560536796
zendesk analytics,0,8,0%,76.0,1560536796
annie app,0,10,0%,32.0,1560536796
kafka,0,28,0%,86.0,1560536796
why azure,0,1,0%,91.0,1560536796
tableau in aws,0,1,0%,77.0,1560536796
power b i,0,3,0%,82.0,1560536796
facebook ads audience,0,1,0%,85.0,1560536796
cloud backup login,0,1,0%,4.0,1560536796
site data,0,2,0%,98.0,1560536796
how does wish app work,0,4,0%,45.0,1560536796
bi em bi,0,1,0%,9.0,1560536796
google cloud storage use cases,0,1,0%,26.0,1560536796
muji online,0,28,0%,35.0,1560536796
marketing automation white paper,0,3,0%,39.0,1560536796
datorama connectors,0,6,0%,7.8,1560536796
mobile gaming case study,0,21,0%,42.0,1560536796
adobe marketing cloud integration,0,2,0%,39.0,1560536796
how to import data into salesforce from excel,0,2,0%,79.0,1560536796
adwords custom audiences,0,1,0%,38.0,1560536796
dpa data processing,0,3,0%,10.0,1560536796
mail chimp email,0,3,0%,220.0,1560536796
subaru advertisement,0,1,0%,96.0,1560536796
multi touch attribution marketing,0,2,0%,27.0,1560536796
does google have cloud storage,0,1,0%,72.0,1560536796
jupyter bigquery,0,57,0%,19.0,1560536796
amazon rds mongodb,0,2,0%,52.0,1560536796
wish on facebook,0,4,0%,10.0,1560536796
salesforce amazon integration,0,3,0%,92.0,1560536796
google analytics mobile,0,1,0%,96.0,1560536796
open source search server,0,2,0%,90.0,1560536796
source open source,0,2,0%,81.0,1560536796
data service as a service,0,1,0%,48.0,1560536796
amplitude salesforce integration,0,2,0%,4.0,1560536796
moving from ftp to sftp,0,2,0%,88.0,1560536796
no game data on top level,0,1,0%,61.0,1560536796
azure data insights,0,1,0%,20.0,1560536796
widh.com,0,1,0%,53.0,1560536796
ipg trading desk,0,1,0%,99.0,1560536796
for data security,0,6,0%,97.0,1560536796
data contact,0,1,0%,4.0,1560536796
advertising data analytics,0,7,0%,33.0,1560536796
google drive integration salesforce,0,13,0%,44.0,1560536796
looker data platform,0,1,0%,48.0,1560536796
salesforce analytics integration,0,27,0%,69.0,1560536796
mixpanel analytics,0,27,0%,75.0,1560536796
real time dashboard power bi,0,1,0%,59.0,1560536796
data analytics png,0,1,0%,35.0,1560536796
bi reporting tool selection criteria,0,26,0%,81.0,1560536796
dpa eu,0,1,0%,76.0,1560536796
about wish shopping,0,1,0%,37.0,1560536796
zendesk redshift,0,34,0%,9.4,1560536796
wish app logo,0,18,0%,7.0,1560536796
google audience insights,0,3,0%,93.0,1560536796
workflow management platform,0,57,0%,140.0,1560536796
shiseido target market,0,4,0%,11.0,1560536796
cloud sftp,0,1,0%,99.0,1560536796
martech 2018,0,10,0%,79.0,1560536796
ad hoc reporting in tableau,0,2,0%,59.0,1560536796
poweerbi,0,1,0%,65.0,1560536796
customer data view,0,9,0%,43.0,1560536796
tableau salesforce,0,48,0%,42.0,1560536796
hadoop big data wiki,0,11,0%,89.0,1560536796
adobe summit facebook,0,1,0%,30.0,1560536796
subways hiring,0,2,0%,35.0,1560536796
eloqua engage salesforce,0,1,0%,16.0,1560536796
fluentd security,0,2,0%,10.0,1560536796
difference between pos and crm,0,1,0%,84.0,1560536796
treasure chief,0,1,0%,20.0,1560536796
tresre,0,2,0%,11.0,1560536796
salesforce marketing cloud logo,0,3,0%,1.0,1560536796
muji buy online,0,2,0%,27.0,1560536796
our upcoming events,0,1,0%,88.0,1560536796
google tradute,0,1,0%,5.0,1560536796
all data service,0,1,0%,93.0,1560536796
domo marketing dashboard,0,1,0%,45.0,1560536796
jaspersoft price,0,1,0%,88.0,1560536796
jupyter android,0,3,0%,17.0,1560536796
customer success hubspot,0,12,0%,84.0,1560536796
game self service,0,1,0%,71.0,1560536796
tokyo careers,0,1,0%,32.0,1560536796
gartner magic quadrant integration,0,1,0%,98.0,1560536796
localytics.com,0,1,0%,89.0,1560536796
wish app contact,0,1,0%,99.0,1560536796
omniture for beginners,0,3,0%,26.0,1560536796
data warehouse in the cloud,0,11,0%,49.0,1560536796
adobe marketing cloud omniture,0,3,0%,27.0,1560536796
mixpanel contact,0,1,0%,42.0,1560536796
qlikview import csv,0,6,0%,8.8,1560536796
ftp server search engine,0,1,0%,66.0,1560536796
mixpanel cost,0,11,0%,85.0,1560536796
how does wish shopping work,0,1,0%,61.0,1560536796
with google analytics strategies,0,2,0%,170.0,1560536796
the treasure yours,0,1,0%,35.0,1560536796
web collect marketing cloud,0,1,0%,34.0,1560536796
gtm corporation,0,1,0%,47.0,1560536796
facebook custom audience terms of service,0,1,0%,58.0,1560536796
customer database analysis,0,6,0%,69.0,1560536796
mixpanel data dashboard,0,8,0%,14.0,1560536796
private marketing cloud,0,10,0%,40.0,1560536796
google drive salesforce,0,4,0%,43.0,1560536796
number for wish app,0,1,0%,75.0,1560536796
app boy,0,47,0%,38.0,1560536796
gree,0,200,0%,67.0,1560536796
wish.nl,0,2,0%,41.0,1560536796
dmp treasure data,0,10,0%,5.3,1560536796
a storage,0,1,0%,6.0,1560536796
qlikview dashboard demo,0,1,0%,72.0,1560536796
tokyo treasure,0,1,0%,84.0,1560536796
wish experience,0,6,0%,9.0,1560536796
docker salesforce,0,2,0%,15.0,1560536796
adwords behavioral targeting,0,2,0%,91.0,1560536796
jupyter postgres,0,40,0%,7.9,1560536796
splunk filter,0,2,0%,30.0,1560536796
open source cdp,0,3,0%,8.3,1560536796
career data,0,2,0%,89.0,1560536796
better roi,0,1,0%,84.0,1560536796
game on company,0,2,0%,10.0,1560536796
google drive for team,0,1,0%,160.0,1560536796
gartner vendor management magic quadrant,0,5,0%,51.0,1560536796
domo metrics,0,1,0%,10.0,1560536796
using hubspot crm,0,3,0%,85.0,1560536796
qlickview,0,2,0%,160.0,1560536796
hubspot terms of service,0,6,0%,68.0,1560536796
treasure and co,0,1,0%,9.0,1560536796
google analytics/web,0,1,0%,89.0,1560536796
g ree,0,1,0%,10.0,1560536796
treasure.,0,10,0%,9.2,1560536796
google drive ftp server,0,4,0%,36.0,1560536796
my power bi,0,1,0%,59.0,1560536796
cloud and accounts,0,1,0%,12.0,1560536796
data analytics magic quadrant,0,1,0%,43.0,1560536796
csv to mysql,0,51,0%,45.0,1560536796
mongodb json,0,1,0%,83.0,1560536796
google analytics csv,0,2,0%,19.0,1560536796
google's cloud storage,0,10,0%,20.0,1560536796
c.d.p.,0,1,0%,44.0,1560536796
eata logo,0,1,0%,10.0,1560536796
cloud storage.com,0,1,0%,11.0,1560536796
cdp security,0,21,0%,13.0,1560536796
world's largest gaming companies,0,1,0%,29.0,1560536796
how does dmp work,0,3,0%,86.0,1560536796
ftp file search,0,1,0%,74.0,1560536796
panda mysql,0,2,0%,9.0,1560536796
